Live;Portfolio;Date;Instrument;Capital;%Risk;Entry Price;Stop Loss (optional);Quantity;Exit Date;Exit Price;Fee;Target;;
Yes;Investment;20-Sep-24;PANAF;1964735,54;1;7.77;7.00;18000.00;03-Mar-25;8.11;900.00;8.547;;
Yes;Investment;20-Sep-24;MUR;1969955,54;1;2.92;2.61;7900.00;01-Oct-24;2.81;400.00;3.212;;
Yes;Investment;23-Sep-24;PANAF;1968686,54;1;7.66;6.90;18000.00;03-Mar-25;8.54;1000.00;8.426;;
Yes;Investment;23-Sep-24;MUR;1983527,46;1;2.92;2.62;42793.00;01-Oct-24;2.81;1200.00;3.212;;
Yes;Investment;16-Sep-24;PANAF;1977620,23;1;7.67;6.90;19500.00;03-Mar-25;8.16;800.00;8.437;;
Yes;Investment;14-Oct-24;SPAR;1986438,82;1;132.22;126.70;1500.00;24-Oct-24;126.70;1330.00;145.442;;
Yes;Investment;16-Jan-25;PANAF;1976828,82;1;8.79;8.09;24600.00;19-Mar-25;9.54;1600.00;9.669;;
Yes;Investment;06-Feb-25;TELKOM;1993556,42;1;34.26;32.37;2400.00;07-Mar-25;35.10;900.00;37.686;;
Yes;Investment;21-Feb-25;DRD;1994672,42;1;21.18;18.50;9300.00;20-Mar-25;26.56;1800.00;23.298;;
Yes;Investment;24-Feb-25;GFIELDS;2042906,42;1;352.75;335.00;900.00;14-Apr-25;455.10;3734.00;388.025;;
Yes;Investment;31-Jan-25;ANG;2131287,42;1;545.08;511.00;400.00;26-Feb-25;559.97;2354.00;599.588;;
Yes;Investment;03-Mar-25;DRD;2134889,42;1;21.19;19.57;9700.00;04-Apr-25;26.97;2450.00;23.309;;
Yes;Investment;03-Mar-25;GFIELDS;2188488,42;1;349.22;232.62;600.00;14-Apr-25;445.10;2475.00;384.142;;
Yes;Investment;11-Mar-25;GFIELDS;2243541,42;1;372.40;344.00;550.00;14-Apr-25;445.10;2445.00;409.64;;
Yes;Investment;12-Mar-25;HARMONY;2281081,42;1;215.56;195.46;1000.00;05-May-25;296.24;2630.00;237.116;;
Yes;Investment;20-Mar-25;HARMONY;2359131,42;1;233.40;209.69;900.00;05-May-25;296.24;2496.00;256.74;;
Yes;Investment;24-Mar-25;MTN;2413191,42;1;124.60;109.55;1800.00;02-Apr-25;121.60;2400.00;137.06;;
Yes;Investment;08-Apr-25;HARMONY;2405391,42;1;265.85;234.00;900.00;21-May-25;283.58;2679.00;292.435;;
Yes;Investment;22-Apr-25;ANG;2418671,42;1;864.20;760.00;480.00;17-Jul-25;836.99;4300.00;950.62;;
Yes;Investment;22-Apr-25;HARMONY;2401310,62;1;345.80;298.00;1200.00;03-Jun-25;270.08;3122.00;380.38;;
Yes;Investment;24-Apr-25;PANAF;2307328,62;1;10.98;9.68;18000.00;12-Jun-25;11.47;2150.00;12.078;;
Yes;Investment;05-May-25;PANAF;2313998,62;1;11.32;10.58;21000.00;09-Jul-25;11.62;2550.00;12.452;;
Yes;Investment;21-May-25;ANG;2317718,62;1;779.40;701.00;150.00;17-Jul-25;836.99;1286.00;857.34;;
Yes;Investment;05-Jun-25;GFIELDS;2325071,12;1;447.89;399.44;500.00;23-Jun-25;442.00;2360.00;492.679;;
Yes;Investment;18-Jun-25;SSW;2319766,12;1;30.61;28.35;3800.00;31-Jul-25;39.14;1377.00;33.671;;
Yes;Investment;24-Jun-25;SOL;2350803,12;1;96.95;87.20;2000.00;01-Jul-25;78.44;1920.00;106.645;;
Yes;Investment;02-Jul-25;GLN;2311863,12;1;72.53;66.00;1800.00;31-Jul-25;71.15;1925.00;79.783;;
Yes;Investment;08-Jul-25;REM;2307454,12;1;168.51;158.25;1400.00;21-Jul-25;172.04;2546.00;185.361;;
Yes;Investment;09-Jul-25;RBX;2309850,12;1;46.16;43.55;5000.00;23-Jul-25;47.12;2479.00;50.776;;
Yes;Investment;28-Jul-25;NEWPLT;2312171,12;1;238.00;223.00;900.00;11-Aug-25;226.00;1720.00;261.8;;
Yes;Investment;04-Aug-25;SSW;2299651,12;1;39.01;35.00;6000.00;20-Aug-25;35.42;2400.00;42.911;;
Yes;Investment;18-Aug-25;REN;2275711,12;1;16.52;14.75;10000.00;18-Aug-25;14.75;1700.00;18.172;;
